PERSON_ID,SALARY
1630550,"$1,250,000"
1629680,"$2,840,160"
1629681,"$2,000,000"
1630214,
1630225,"$1,500,000"
1630167,"$5,105,160"
1629308,"$1,701,593"
1626157,"$31,610,000"
1629018,"$16,000,000"
200782,"$7,000,000"
1629730,"$28,779"
1626167,"$18,000,000"
202685,"$14,000,000"
1627832,"$19,675,926"
1629020,"$4,259,259"
1630170,"$4,235,160"
1629216,"$1,669,178"
202696,"$24,000,000"
1629731,"$1,782,621"
1630532,"$5,007,840"
1629021,"$1,729,217"
1630688,"$8,558"
202689,"$34,967,442"
1629022,"$4,447,896"
202322,"$44,310,840"
203933,"$12,690,000"
1629023,"$4,215,120"
1630613,"$21,270"
1629139,"$1,762,769"
1630322,
1630570,"$260,561"
1629683,
201566,"$44,211,146"
1629632,"$5,837,760"
1628401,"$15,178,571"
202355,"$2,401,537"
1630580,"$202,068"
1630598,"$1,000,000"
203952,"$31,579,390"
1629623,
1630314,
1629684,"$2,617,800"
1629026,"$2,000,000"
101150,"$5,000,000"
1630172,"$7,422,000"
1630533,"$4,373,160"
1629057,"$3,661,976"
1629627,"$10,733,400"
1629685,"$2,239,200"
1626159,"$3,902,439"
1630216,
1630164,"$9,166,800"
1626174,"$13,666,667"
1630218,"$1,517,981"
1626153,"$8,526,316"
1630589,
1630593,
1628221,
201152,"$14,190,000"
1629027,"$8,326,471"
1630209,"$1,489,065"
1627826,"$7,518,518"
